league,game,half,timestamp,type,anonymized,predicted_res_0
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1976,,"[PLAYER] ([TEAM]) sends a pass into the penalty area, but the opponent manages to cut it out. [TEAM] have been awarded a corner kick. The referee and one of his assistants both point at the corner flag.",The referee stops play so that a substitution can be made and [PLAYER] ([TEAM]) comes onto the pitch for [PLAYER].
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1956,,"Half-chance! [PLAYER] ([TEAM]) plays a pass into the box, but [PLAYER] reacts well to snuff out the attack.","[PLAYER] ([TEAM]) tries to find [PLAYER], but puts too much weight on his pass."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1922,,"[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence quickly intercepts the ball.",[REFEREE] blows his whistle after [PLAYER] ([TEAM]) kicks the ball well off the pitch. [TEAM] are awarded a throw-in.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1900,attendance,The attendance is 54331.,[REFEREE] blows his whistle. [PLAYER] ([TEAM]) commits a foul after dangerous play.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1760,,[PLAYER] ([TEAM]) smashes the ball upfield and [PLAYER] controls it with a great first touch.,[PLAYER] ([TEAM]) is penalised for a foul. [REFEREE] had a clear view and blows his whistle.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1659,,The cross into the penalty area from [PLAYER] ([TEAM]) needed to be more accurate in order to create a goal-scoring opportunity for his team.,The substitution has been made. [PLAYER] ([TEAM]) on for [PLAYER].
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1485,,"[PLAYER] pulls off a great save to deny [PLAYER] ([TEAM]), who makes himself some space inside the box and unleashes a quick shot towards the middle of the goal.",[PLAYER] ([TEAM]) is about to take a corner kick.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1350,,[PLAYER] ([TEAM]) breaks into the penalty area but his shot is blocked.,"[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] intercepts the ball."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1276,,[PLAYER] ([TEAM]) is offside and the linesman raises his flag.,"Flag up against [PLAYER] ([TEAM]). He had space to move into behind the defence, but he went too soon."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1199,substitution,[COACH] has decided to substitute [PLAYER] and he is replaced by [PLAYER] ([TEAM]).,The referee stops play so that a substitution can be made and [PLAYER] ([TEAM]) comes onto the pitch for [PLAYER].
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1179,,What a chance that is! [PLAYER] ([TEAM]) finds himself unmarked in a promising position after receiving a cross on the edge of the box and his attempt sails a whisker wide of the right post.,The referee stops play so that a substitution can be made and [PLAYER] ([TEAM]) comes onto the pitch for [PLAYER].
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1131,substitution,Substitution.  [PLAYER] makes way for [PLAYER] ([TEAM]).,"[PLAYER] ([TEAM]) sends a cross into the box, but it's too late and the ball goes out for a goal kick."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1100,,"[PLAYER] ([TEAM]) nearly creates a chance, but his attempt to pick out a teammate with a through ball does not come off.","[PLAYER] ([TEAM]) takes the corner, but the opposition's defence is ready and clears the ball to safety."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,949,,"[PLAYER] ([TEAM]) darts into the penalty area to latch on to a pass, and he unleashes a shot towards the middle of the net, but [PLAYER] is alert and denies him.",[PLAYER] ([TEAM]) brings his opponent down with a tackle and [REFEREE] blows his whistle for a foul. [TEAM] have a free kick from a promising distance.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,859,,"[PLAYER] ([TEAM]) attempted to pick out a free teammate inside the box, but [PLAYER] comes off the line to clear the ball away.","[PLAYER] ([TEAM]) tries to find [PLAYER], but he puts too much power on the pass. The ball goes out of play and [TEAM] will have a throw-in."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,759,,"[PLAYER] ([TEAM]) found some space to play in a lofted pass, but he looks disappointed as none of his teammates managed to connect with it.",[COACH] has decided to make a change. [PLAYER] ([TEAM]) replaces [PLAYER].
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,621,corner,[PLAYER] ([TEAM]) puts a cross into the box from the corner but there is no panic from the opposition and they easily clear.,"[PLAYER] ([TEAM]) sends a cross field pass into the box, but the opposition's defence is alert and averts the danger. The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,608,,"[PLAYER] ([TEAM]) goes on a solo run, but he fails to create a chance as an opposition player blocks him. The referee points to the corner flag and [TEAM] will take a corner.",[PLAYER] ([TEAM]) decides to take a short corner instead of crossing into the box.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,563,,"[PLAYER] ([TEAM]) finds himself beyond the last defender, but the game is stopped by the referee after the linesman signals for offside.",The linesman raises his flag for offside before [PLAYER] ([TEAM]) heads on.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,471,,[PLAYER] ([TEAM]) sends an accurate short pass. [PLAYER] controls the ball with a fine first touch and is able to come up with a new attacking effort.,[PLAYER] ([TEAM]) will take the free kick.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,316,y-card,Yellow card! It's like [PLAYER] ([TEAM]) was asking for a caution with his behaviour. [REFEREE] agrees and books him.,The linesman raises his flag as [PLAYER] ([TEAM]) was in an offside position.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,273,,"The assistant referee raises his flag and the referee blows his whistle.  [PLAYER] ([TEAM]) puts the ball into the net, but he is flagged for offside.","[PLAYER] ([TEAM]) is caught offside! [PLAYER] tries to play him in, but the linesman raises his flag. [TEAM] have a free kick. [TEAM] have a chance to create a scoring opportunity."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,191,,[PLAYER] ([TEAM]) whips in the resulting set piece but it's cleared.,"[PLAYER] ([TEAM]) tries to create a chance, but he throws himself at the ball which is slightly off target from the edge of the box. The ball is off of the pitch and it's a goal kick for [TEAM]."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,156,y-card,[REFEREE] shows a yellow card to [PLAYER] ([TEAM]) for a tough tackle. [TEAM] get a free kick.,"[PLAYER] ([TEAM]) takes the corner kick and sends the ball into the penalty box, but the first ball doesn't reach any of his teammates. The ball goes out of play and [TEAM] are awarded a corner kick."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,104,,[PLAYER] ([TEAM]) fizzes over a cross which doesn't cause any problems.,[PLAYER] ([TEAM]) sees a yellow card from [REFEREE] after he knocks the ball away from an opponent.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1,substitution,The teams are back out for the second half and here is a change on the pitch. [COACH] gives a chance to [PLAYER] ([TEAM]) and [PLAYER] is off.,The teams are back out for the second half and here is a change on the pitch. [COACH] gives a chance to [PLAYER] ([TEAM]) and [PLAYER] is off.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1,whistle,The game restarts for the second half.,The teams are back out for the second half and here is a change on the pitch. [COACH] gives a chance to [PLAYER] ([TEAM]) and [PLAYER] is off.
england_epl_2015-2016,2015-11-08 - 19-00 Arsenal 1 - 1 Tottenham,1,1727,,[PLAYER] ([TEAM]) tries to slide the ball through to a teammate but it's well blocked by a defender.,"[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence clears the ball away to eliminate the danger."
spain_laliga_2016-2017,2016-09-21 - 21-00 Real Madrid 1 - 1 Villarreal,2,2587,,"A pass by [PLAYER] ([TEAM]) ends up in no man's land, and the attacking effort comes to an end.","[PLAYER] ([TEAM]) tries to find [PLAYER], but he puts too much power on the pass. The ball goes out of play and [TEAM] will have a goal kick."
germany_bundesliga_2015-2016,2015-08-29 - 19-30 Bayern Munich 3 - 0 Bayer Leverkusen,2,1,whistle,Everything is set for the start of the second half.,The players are back out on the pitch following the half-time break and the second half is about to start.
spain_laliga_2014-2015,2015-04-25 - 17-00 Espanyol 0 - 2 Barcelona,2,777,y-card,"[PLAYER] ([TEAM]) sees a yellow! His tackle wasn't that harsh, but he probably talked himself into [REFEREE]'s book.",[PLAYER] ([TEAM]) sees a yellow card from [REFEREE] after he sent one of the opposing players to the ground.
germany_bundesliga_2015-2016,2015-08-29 - 19-30 Bayern Munich 3 - 0 Bayer Leverkusen,2,2323,,[TEAM] seem to be finding their feet as they enjoy some possession. They are waiting for the right moment to create new attacking opportunities.,[PLAYER] ([TEAM]) commits a rough foul. [REFEREE] stops the game and makes a call.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2818,injury,[PLAYER] ([TEAM]) is having a really tough time right now. We are about to find out how serious his injury is.,"[PLAYER] ([TEAM]) requires medical treatment, so the referee stops play and signals for the physio to come onto the pitch."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2712,y-card,The foul by [PLAYER] ([TEAM]) is worthy of a card and a yellow is duly shown by [REFEREE].,[PLAYER] ([TEAM]) takes the corner kick and it causes no trouble for the opposition as it goes out of play.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,0,time,Fourth official shows 2 min. of added time.,The teams are back out for the second half and here is a change on the pitch. [COACH] gives a chance to [PLAYER] ([TEAM]) and [PLAYER] is off.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2625,injury,Looks like [PLAYER] ([TEAM]) is struggling after picking up a knock. Hopefully he can run it off.,[PLAYER] ([TEAM]) is having a really tough time right now. We are about to find out how serious his injury is.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2593,,[PLAYER] swings the cross over. [PLAYER] ([TEAM]) gets his head to it but it goes just wide of the right post.,The referee stops play so that a substitution can be made and [PLAYER] ([TEAM]) comes onto the pitch to replace [PLAYER].
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2483,,[PLAYER] ([TEAM]) unleashes a decent effort from just outside the box which goes narrowly wide of the left post.,The referee stops play so that a substitution can be made and [PLAYER] trots off the pitch and is replaced by [PLAYER] ([TEAM]).
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2364,,"[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] comes off his line to gather the ball.",[REFEREE] blows his whistle for a foul after [PLAYER] ([TEAM]) trips one of his opponents. [TEAM] will take a free kick near the side line.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2213,corner,The resulting corner from [PLAYER] ([TEAM]) is cleared by the opposition's defence.,"[PLAYER] ([TEAM]) swings in the corner, but fails to find any of his teammates. One of the defenders reacts superbly to get it clear."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2202,,[PLAYER] ([TEAM]) has a shot blocked from inside the box. [TEAM] will take a corner kick.,[PLAYER] ([TEAM]) tries to slide the ball through to a teammate but it's well blocked by a defender. The ball goes out for a corner. [TEAM] can continue in their attacking effort.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2100,,"[PLAYER] passes to [PLAYER] ([TEAM]), but he produces a wild shot from the edge of the box which goes high over the bar.",The linesman raises his flag as [PLAYER] ([TEAM]) is unable to control his header from the corner and the ball goes out of play.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1958,y-card,A yellow card for a tackle by [PLAYER] ([TEAM]). [REFEREE] doesn't hesitate at all to make this decision.,[PLAYER] ([TEAM]) has tested the patience of referee [REFEREE] and goes into the book for a previous late challenge.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1827,soccer-ball,[PLAYER] ([TEAM]) receives a precise pass inside the box from [PLAYER] and he beats the goalkeeper with a neat finish into the left side of the net. 1:0.,"[PLAYER] ([TEAM]) tries his luck with a shot from the edge of the box, but it's blocked. The ball goes out of play and [TEAM] will have a chance to catch their breath."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1731,corner,"The resulting corner, taken by [PLAYER] ([TEAM]), comes to nothing.","[PLAYER] ([TEAM]) swings in the corner, but fails to find any of his teammates. One of the defenders reacts superbly to get it clear."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1718,,"[PLAYER] ([TEAM]) sends a beautiful cross into the penalty area, but the opposition's defence manages to clear the ball to safety. It will be a corner kick for [TEAM].","[PLAYER] ([TEAM]) takes the corner, but the opposition's defence is ready and clears the ball to safety."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1598,,[PLAYER] ([TEAM]) skips past his man but can't keep the ball in play.,The substitution has been made. [PLAYER] ([TEAM]) replaces [PLAYER].
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1482,,[PLAYER] ([TEAM]) holds his opponent to prevent him from getting the ball and the referee blows his whistle for a foul.,"[PLAYER] ([TEAM]) attempts to find one of his teammates with a pass from outside the box, but the opposition's defence is alert and cuts it out."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1365,,[PLAYER] ([TEAM]) was too fierce in his attempt to get the ball from his opponent and [REFEREE] blows for a foul.,[PLAYER] ([TEAM]) is clearly asking for some medical attention with his painful gestures. The extent of his injury is yet to be discovered.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1300,,"[PLAYER] ([TEAM]) had a good opportunity when he latched on to a cross from the wing, but his strike wasn't accurate at all and the ball went well wide of the left post.","[PLAYER] ([TEAM]) has picked up a minor injury, but it looks like he will be able to continue."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1224,,[PLAYER] ([TEAM]) attempts to send a pass but the effort is blocked.,The linesman raises his flag. [PLAYER] ([TEAM]) is adjudged offside.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1161,,"[PLAYER] ([TEAM]) meets a cross from [PLAYER], but he cannot keep his header on target. It goes high over the crossbar.",The referee stops play so that a substitution can be made and [PLAYER] ([TEAM]) comes onto the pitch so that [PLAYER] can be taken off.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1105,,[PLAYER] ([TEAM]) trips an opposition player and [REFEREE] signals a foul.,"[REFEREE] shows a yellow card to [PLAYER] ([TEAM]), who isn't surprised as the tackle was really hard and late."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,986,,[PLAYER] ([TEAM]) receives a quality pass inside the box and fires a first-time shot. His effort towards the right post is saved by the goalkeeper.,"[PLAYER] ([TEAM]) misses a great chance to score! He gets to the ball inside the box, but his shot goes just wide of the left post."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,937,,[PLAYER] was forced into action to thwart [PLAYER] ([TEAM]). He found himself some space after latching on to a pass and unleashed a shot to the right post but couldn't beat the keeper.,[PLAYER] ([TEAM]) works the corner short.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,873,,"[PLAYER] ([TEAM]) sends a chip pass into the box, but [PLAYER] is quickest to intercept the ball.",A cross from [PLAYER] ([TEAM]) is intercepted by [PLAYER] as [PLAYER] comes off his line to gather the ball.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,792,corner,[PLAYER] ([TEAM]) takes the resulting corner which is well defended.,"[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence clears the ball to safety. The ball goes out of play and [TEAM] manage to earn a corner."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,768,,"[PLAYER] ([TEAM]) swings in a cross, but the ball is cleared to safety by one of the defending players. The ball goes out of play and [TEAM] have been awarded a corner kick.",The ball is cleared after [PLAYER] ([TEAM]) attempted to dribble past an opposing player. The ball goes out of play. [TEAM] are awarded a corner kick.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,687,,"[PLAYER] ([TEAM]) plays a one-two with [PLAYER], but the move breaks down.",[PLAYER] ([TEAM]) is clearly diving and [REFEREE] blows his whistle for a foul.
spain_laliga_2016-2017,2016-12-18 - 22-45 Barcelona 4 - 1 Espanyol,1,1047,,[PLAYER] ([TEAM]) displays his superb passing ability after picking out [PLAYER] with a fine lofted pass to continue their attacking move.,[PLAYER] ([TEAM]) is forced to leave the pitch after picking up an injury. He is replaced by [PLAYER] ([TEAM]).
europe_uefa-champions-league_2015-2016,2015-11-03 - 22-45 Sevilla 1 - 3 Manchester City,2,930,,"[PLAYER] ([TEAM]) dinks a cross into the box in an attempt to find one of his teammates, but the defence manages to clear. [TEAM] force a corner. They send men into the box.",[PLAYER] ([TEAM]) tries to send a pass but it's blocked. The ball goes out of play. [TEAM] are awarded a corner kick.
europe_uefa-champions-league_2015-2016,2015-11-03 - 22-45 Sevilla 1 - 3 Manchester City,2,1,substitution,Here is a change after the half-time break. [PLAYER] is replaced by [PLAYER] ([TEAM]).,The linesman signals that [PLAYER] ([TEAM]) is offside and the referee confirms the decision with the help of the offside trap.
spain_laliga_2016-2017,2017-04-26 - 20-30 Barcelona 7 - 1 Osasuna,1,924,corner,The corner from [PLAYER] ([TEAM]) is hurriedly cleared.,[PLAYER] ([TEAM]) is adjudged to have been offside. [TEAM] win a free kick.
england_epl_2016-2017,2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool,2,1116,,"[PLAYER] ([TEAM]) stands over the free kick and opts to take it himself, sending it towards the top of net only for [PLAYER] to dive and make a save. The ball is out of play. [TEAM] win a corner kick.","[PLAYER] ([TEAM]) takes the corner kick and sends a lovely ball into the penalty area, but the opposition's defence is ready and throws the ball out of play. The referee and one of his assistants both point at the corner of the pitch and [TEAM] are awarded a corner."
italy_serie-a_2016-2017,2016-09-11 - 16-00 AC Milan 0 - 1 Udinese,2,569,,"[PLAYER] ([TEAM]) looks to break free, but his touch lets him down and he loses the ball.","[PLAYER] ([TEAM]) takes the corner, but the opposition's defence is ready and clears the ball to safety."
italy_serie-a_2016-2017,2016-10-02 - 21-45 AS Roma 2 - 1 Inter,1,1116,,[PLAYER] ([TEAM]) receives a pass and decides to smash the ball from long range. His poor effort sails well wide of the right post. The ball goes out of play and [TEAM] will have a goal kick.,"[PLAYER] ([TEAM]) tries his luck from the edge of the box, but his shot goes just wide of the left post."
spain_laliga_2015-2016,2016-03-02 - 23-00 Levante 1 - 3 Real Madrid,2,2527,,"[PLAYER] ([TEAM]) collects a great pass inside the box and misses a golden opportunity. His low shot was directed into the middle of the goal, but the goalkeeper does well to stop his effort.","[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] comes off his line to gather the ball."
spain_laliga_2014-2015,2015-04-25 - 17-00 Espanyol 0 - 2 Barcelona,2,77,,[PLAYER] ([TEAM]) pulls the shirt of his opponent and the referee stops play for a foul.,[PLAYER] ([TEAM]) is penalised for a foul. [REFEREE] had a clear view and blows his whistle.
spain_laliga_2014-2015,2015-04-25 - 17-00 Espanyol 0 - 2 Barcelona,2,1483,substitution,Substitution. [PLAYER] makes his way off the pitch and [PLAYER] ([TEAM]) comes on as his replacement.,"[COACH] has decided to introduce fresh legs, with [PLAYER] ([TEAM]) replacing [PLAYER]."
europe_uefa-champions-league_2016-2017,2016-11-01 - 20-45 Besiktas 1 - 1 Napoli,1,631,,"[PLAYER] ([TEAM]) takes a great touch after receiving a pass inside the box. He immediately unleashes a low shot to the middle of the goal, but the keeper pulls off a decent save!",[PLAYER] ([TEAM]) is forced to leave the pitch after picking up a yellow card for a late challenge on an opposing player.
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2661,,[PLAYER] ([TEAM]) commits a rough challenge and [REFEREE] blows his whistle for a foul. [TEAM] are awarded a free kick. Let's see what they create from this.,[REFEREE] interrupts the game for a tactical foul by [PLAYER] ([TEAM]).
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2567,substitution,Substitution. [PLAYER] makes his way off the pitch and [PLAYER] ([TEAM]) comes on as his replacement.,[REFEREE] blows his whistle after [PLAYER] ([TEAM]) kicks an opponent's legs out of the box.
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2534,,"[PLAYER] ([TEAM]) creates a good chance for himself and goes for goal from mid-range, but it's just a bit too high and misses the bar by a whisker.",The referee signals that it is time for a substitution and [PLAYER] ([TEAM]) comes onto the pitch over [PLAYER].
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2493,,"[PLAYER] ([TEAM]) amazingly found his way through the defence, but lacked a precise finish as his effort from close range went slightly wide of the right post.","[PLAYER] ([TEAM]) tries his luck from the edge of the box, but his effort is blocked by one of the defenders. The referee and one of his assistants signal for a corner kick. [TEAM] have been given a chance to threaten the opposition's goal."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2455,,"[PLAYER] ([TEAM]) shoots from the edge of the penalty area. The ball travels low towards the middle of the target, but [PLAYER] easily deals with the threat.","[PLAYER] ([TEAM]) goes on a solo run, but he fails to create a chance as an opposition player blocks him. The ball is off of the pitch and it's a goal kick for [TEAM]."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2443,,"[PLAYER] ([TEAM]) sends a lofted cross into the penalty area. Unfortunately for him, the opponent's defence deals with his cross comfortably and intercepts it.",The referee stops play so that a substitute can be made. [PLAYER] ([TEAM]) is going off the pitch and another player is coming on.
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2408,,"A fine lofted pass into the box, sent by [PLAYER] ([TEAM]), is intercepted by the opposition's defence.",The linesman raises his flag. [PLAYER] ([TEAM]) is adjudged offside.
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2334,substitution,Substitution. [PLAYER] ([TEAM]) replaces [PLAYER].,The referee stops play so that a substitution can be made and [PLAYER] leaves the pitch and [PLAYER] ([TEAM]) comes on.
