game,timestamp,type,anonymized,predicted_res_0
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2749,y-card,[PLAYER] ([TEAM]) gets a yellow card. The referee [REFEREE] made the right call.,"The game is interrupted now, [PLAYER] ([TEAM]) picks up a knock and the physio has to come on."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1266,,[PLAYER] ([TEAM]) is offside and the linesman raises his flag.,[PLAYER] ([TEAM]) makes a reckless foul in order to win the ball from his opponent. [REFEREE] has a clear sight of it and blows his whistle.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1185,substitution,[COACH] has decided to substitute [PLAYER] and he is replaced by [PLAYER] ([TEAM]).,[COACH] decides to make a substitution. [PLAYER] will be replaced by [PLAYER] ([TEAM]).
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1158,,What a chance that is! [PLAYER] ([TEAM]) finds himself unmarked in a promising position after receiving a cross on the edge of the box and his attempt sails a whisker wide of the right post.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball is out of play. [TEAM] will have a chance to score from a corner."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1113,substitution,Substitution.  [PLAYER] makes way for [PLAYER] ([TEAM]).,[COACH] is forced to make a change. [PLAYER] is not able to carry on due to injury. He is replaced by [PLAYER] ([TEAM]).
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1090,,"[PLAYER] ([TEAM]) nearly creates a chance, but his attempt to pick out a teammate with a through ball does not come off.",[PLAYER] ([TEAM]) tries to send a pass but it's blocked. The ball goes out of play and [TEAM] will have a goal kick.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,940,,"[PLAYER] ([TEAM]) darts into the penalty area to latch on to a pass, and he unleashes a shot towards the middle of the net, but [PLAYER] is alert and denies him.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,846,,"[PLAYER] ([TEAM]) attempted to pick out a free teammate inside the box, but [PLAYER] comes off the line to clear the ball away.","[PLAYER] ([TEAM]) attempts to find [PLAYER], but puts far too much on the pass and the chance is gone. The ball is off of the pitch and it's a goal kick for [TEAM]."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,749,,"[PLAYER] ([TEAM]) found some space to play in a lofted pass, but he looks disappointed as none of his teammates managed to connect with it.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,609,corner,[PLAYER] ([TEAM]) puts a cross into the box from the corner but there is no panic from the opposition and they easily clear.,"[PLAYER] ([TEAM]) steps up to take the corner. He launches the ball into the penalty box, but it only finds the head of an opposing player who clears the danger."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,589,,"[PLAYER] ([TEAM]) goes on a solo run, but he fails to create a chance as an opposition player blocks him. The referee points to the corner flag and [TEAM] will take a corner.",[PLAYER] ([TEAM]) tries to send a pass but it's blocked. The ball goes out of play. [TEAM] are awarded a corner kick.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,554,,"[PLAYER] ([TEAM]) finds himself beyond the last defender, but the game is stopped by the referee after the linesman signals for offside.",The [TEAM] players are exchanging some short passes to try and open up the opposition’s defence and hit them swiftly on the break.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,432,,[PLAYER] ([TEAM]) sends an accurate short pass. [PLAYER] controls the ball with a fine first touch and is able to come up with a new attacking effort.,[REFEREE] blows his whistle and [PLAYER] ([TEAM]) is penalised for a foul. [TEAM] have a free kick.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,355,y-card,Yellow card! It's like [PLAYER] ([TEAM]) was asking for a caution with his behaviour. [REFEREE] agrees and books him.,"The game is interrupted now, [PLAYER] ([TEAM]) picks up a knock and the physio has to come on."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,264,,"The assistant referee raises his flag and the referee blows his whistle.  [PLAYER] ([TEAM]) puts the ball into the net, but he is flagged for offside.",The ball is cleared after [PLAYER] ([TEAM]) attempted to dribble past an opposing player. The ball goes out of play. [TEAM] are awarded a corner kick.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,174,,[PLAYER] ([TEAM]) whips in the resulting set piece but it's cleared.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball is out of play. [TEAM] will have a chance to score from a corner."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,131,y-card,[REFEREE] shows a yellow card to [PLAYER] ([TEAM]) for a tough tackle. [TEAM] get a free kick.,[PLAYER] ([TEAM]) is penalised for a foul. [REFEREE] had a clear view and blows his whistle.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,93,,[PLAYER] ([TEAM]) fizzes over a cross which doesn't cause any problems.,"[PLAYER] ([TEAM]) swings in the corner, but fails to find any of his teammates. One of the defenders reacts superbly to get it clear."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1,whistle,The game restarts for the second half.,"[COACH] is forced to make a change. [PLAYER] is unable to continue due to injury, [PLAYER] ([TEAM]) comes on."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2815,injury,[PLAYER] ([TEAM]) is having a really tough time right now. We are about to find out how serious his injury is.,[PLAYER] ([TEAM]) is having a really tough time right now. We are about to find out how serious his injury is.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2763,y-card,The foul by [PLAYER] ([TEAM]) is worthy of a card and a yellow is duly shown by [REFEREE].,"The game is interrupted now, [PLAYER] ([TEAM]) picks up a knock and the physio has to come on."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2619,injury,Looks like [PLAYER] ([TEAM]) is struggling after picking up a knock. Hopefully he can run it off.,"[PLAYER] ([TEAM]) requires medical treatment, so the referee stops play and signals for the physio to come onto the pitch."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2587,,[PLAYER] swings the cross over. [PLAYER] ([TEAM]) gets his head to it but it goes just wide of the right post.,"[PLAYER] ([TEAM]) looks to break free, but an opposing player clears the ball away. The ball is out of play and [TEAM] manage to earn a corner."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2477,,[PLAYER] ([TEAM]) unleashes a decent effort from just outside the box which goes narrowly wide of the left post.,The ball is cleared after [PLAYER] ([TEAM]) attempted to dribble past an opposing player. [TEAM] force a corner. Their opponents will face another attacking threat.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2359,,"[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] comes off his line to gather the ball.","[PLAYER] ([TEAM]) takes the resulting free kick from the edge of the box, but his effort is blocked by the defensive wall."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2220,corner,The resulting corner from [PLAYER] ([TEAM]) is cleared by the opposition's defence.,"[PLAYER] ([TEAM]) swings in the corner, but one of the defending players reacts quickly and rises highest to head the ball away."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2183,,[PLAYER] ([TEAM]) has a shot blocked from inside the box. [TEAM] will take a corner kick.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball is out of play. [TEAM] will have a chance to score from a corner."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2095,,"[PLAYER] passes to [PLAYER] ([TEAM]), but he produces a wild shot from the edge of the box which goes high over the bar.","[PLAYER] ([TEAM]) attempts to find the head of one of his teammates with a promising cross into the box, but a defender outjumps the attackers and averts the threat. The ball is out of play. [TEAM] will have a chance to score from a corner."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1943,y-card,A yellow card for a tackle by [PLAYER] ([TEAM]). [REFEREE] doesn't hesitate at all to make this decision.,"The game is interrupted now, [PLAYER] ([TEAM]) picks up a knock and the physio has to come on."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1860,soccer-ball,[PLAYER] ([TEAM]) receives a precise pass inside the box from [PLAYER] and he beats the goalkeeper with a neat finish into the left side of the net. 1:0.,Goal! [PLAYER] ([TEAM]) was in the right place at the right time to get to the rebound inside the box and send the ball into the back of the net. 0:2.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1738,corner,"The resulting corner, taken by [PLAYER] ([TEAM]), comes to nothing.",[PLAYER] ([TEAM]) goes over to take the corner kick and it looks like he will swing the ball into the penalty box.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1714,,"[PLAYER] ([TEAM]) sends a beautiful cross into the penalty area, but the opposition's defence manages to clear the ball to safety. It will be a corner kick for [TEAM].",The ball is cleared after [PLAYER] ([TEAM]) attempted to dribble past an opposing player. The ball goes out of play. [TEAM] are awarded a corner kick.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1593,,[PLAYER] ([TEAM]) skips past his man but can't keep the ball in play.,"[PLAYER] ([TEAM]) makes a yard for himself on the edge of the box after picking up a pass, but produces a poor shot which goes well wide of the left post."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1537,,[PLAYER] ([TEAM]) holds his opponent to prevent him from getting the ball and the referee blows his whistle for a foul.,The foul by [PLAYER] ([TEAM]) is worthy of a card and a yellow is duly shown by [REFEREE].
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1356,,[PLAYER] ([TEAM]) was too fierce in his attempt to get the ball from his opponent and [REFEREE] blows for a foul.,The foul by [PLAYER] ([TEAM]) is worthy of a card and a yellow is duly shown by [REFEREE].
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1253,,"[PLAYER] ([TEAM]) had a good opportunity when he latched on to a cross from the wing, but his strike wasn't accurate at all and the ball went well wide of the left post.","[PLAYER] ([TEAM]) goes on a solo run, but he fails to create a chance as an opposition player blocks him."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1217,,[PLAYER] ([TEAM]) attempts to send a pass but the effort is blocked.,"A pass by [PLAYER] ([TEAM]) ends up in no man's land, and the attacking effort comes to an end. The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1155,,"[PLAYER] ([TEAM]) meets a cross from [PLAYER], but he cannot keep his header on target. It goes high over the crossbar.",[PLAYER] ([TEAM]) tries to send a pass but it's blocked. The ball goes out of play. [TEAM] are awarded a corner kick.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1101,,[PLAYER] ([TEAM]) trips an opposition player and [REFEREE] signals a foul.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,977,,[PLAYER] ([TEAM]) receives a quality pass inside the box and fires a first-time shot. His effort towards the right post is saved by the goalkeeper.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball goes behind for a corner. [TEAM] will have an opportunity to threaten the opposition's goal."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,930,,[PLAYER] was forced into action to thwart [PLAYER] ([TEAM]). He found himself some space after latching on to a pass and unleashed a shot to the right post but couldn't beat the keeper.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,867,,"[PLAYER] ([TEAM]) sends a chip pass into the box, but [PLAYER] is quickest to intercept the ball.","[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] comes off his line to gather the ball."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,789,corner,[PLAYER] ([TEAM]) takes the resulting corner which is well defended.,[PLAYER] ([TEAM]) fails to find any of his teammates inside the box as his pass is blocked. The ball goes out of play. [TEAM] are awarded a corner kick.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,764,,"[PLAYER] ([TEAM]) swings in a cross, but the ball is cleared to safety by one of the defending players. The ball goes out of play and [TEAM] have been awarded a corner kick.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball goes behind for a corner. [TEAM] will have an opportunity to threaten the opposition's goal."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,697,,"[PLAYER] ([TEAM]) plays a one-two with [PLAYER], but the move breaks down.",[PLAYER] ([TEAM]) gives away a foul for a clumsy challenge. Referee [REFEREE] saw the whole situation.
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2695,,[TEAM] take a quick free kick and immediately restart play.,"[PLAYER] ([TEAM]) is awarded a yellow card for his tackle. He doesn't seem to agree with the decision, but [REFEREE] ignores the protests."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2647,,[PLAYER] ([TEAM]) commits a rough challenge and [REFEREE] blows his whistle for a foul. [TEAM] are awarded a free kick. Let's see what they create from this.,The foul by [PLAYER] ([TEAM]) is worthy of a card and a yellow is duly shown by [REFEREE].
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2543,substitution,Substitution. [PLAYER] makes his way off the pitch and [PLAYER] ([TEAM]) comes on as his replacement.,The referee stops play so that a substitution can be made and [PLAYER] departs the field of play to be replaced by [PLAYER] ([TEAM]).
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2518,,"[PLAYER] ([TEAM]) creates a good chance for himself and goes for goal from mid-range, but it's just a bit too high and misses the bar by a whisker.","The ball is whipped in from the corner by [PLAYER] ([TEAM]), but one of the defenders gets it clear."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2477,,"[PLAYER] ([TEAM]) amazingly found his way through the defence, but lacked a precise finish as his effort from close range went slightly wide of the right post.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball goes behind for a corner. [TEAM] will have an opportunity to threaten the opposition's goal."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2438,,"[PLAYER] ([TEAM]) shoots from the edge of the penalty area. The ball travels low towards the middle of the target, but [PLAYER] easily deals with the threat.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2427,,"[PLAYER] ([TEAM]) sends a lofted cross into the penalty area. Unfortunately for him, the opponent's defence deals with his cross comfortably and intercepts it.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2392,,"A fine lofted pass into the box, sent by [PLAYER] ([TEAM]), is intercepted by the opposition's defence.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2329,substitution,Substitution. [PLAYER] ([TEAM]) replaces [PLAYER].,The referee stops play so that a substitution can be made and [PLAYER] departs the field of play to be replaced by [PLAYER] ([TEAM]).
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2280,,[PLAYER] ([TEAM]) jumps into a tackle and [REFEREE] blows his whistle for a foul.,[REFEREE] blows his whistle after [PLAYER] ([TEAM]) brings one of his opponents down with a strong tackle. [TEAM] earn a free kick which could lead to a goal-scoring opportunity.
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2205,,"[PLAYER] ([TEAM]) has an effort from the edge of the area, but he skies the ball over the top.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball is out of play and the linesman points at the corner flag. [TEAM] are going to take a corner."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2201,corner,[PLAYER] ([TEAM]) quickly takes the corner kick with a short pass.,[PLAYER] ([TEAM]) goes over to take the corner kick and it looks like he will swing the ball into the penalty box.
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2125,,The defence is alert as they clear a dangerous cross from [PLAYER] ([TEAM]). The ball goes out for a corner. [TEAM] can continue in their attacking effort.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2091,,"[PLAYER] sprays a pass out to [PLAYER] ([TEAM]), but he produces a poor effort from inside the box which goes well wide of the left post.","[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] comes off his line to gather the ball."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1943,substitution,[COACH] has decided to substitute [PLAYER] and he is replaced by [PLAYER] ([TEAM]).,"[COACH] is forced to make a change. [PLAYER] is unable to continue due to injury, [PLAYER] ([TEAM]) comes on."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1929,substitution,The referee stops play so that a substitution can be made and [PLAYER] ([TEAM]) comes onto the pitch for [PLAYER].,The referee signals that it is time for a substitution and [PLAYER] ([TEAM]) is coming onto the pitch as [PLAYER] cannot continue after picking up an injury.
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1892,,[PLAYER] ([TEAM]) jinks his way past two defenders and from the edge of the box has an effort which goes just over the bar.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1864,corner,"[PLAYER] ([TEAM]) sends in the corner, but fails to find the head of any of his teammates, allowing the defence to clear.","The resulting corner, taken by [PLAYER] ([TEAM]), comes to nothing as one of the defenders makes a good clearance."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1827,,"[PLAYER] ([TEAM]) pulls the trigger and strikes the ball towards goal from long-range, but his effort is blocked by one of the defenders. The ball goes behind for a corner. [TEAM] will have an opportunity to threaten the opposition's goal.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1742,,[REFEREE] blows his whistle for a foul after [PLAYER] ([TEAM]) hacks down one of his opponents. A free kick is awarded to [TEAM].,[PLAYER] ([TEAM]) makes a reckless foul in order to win the ball from his opponent. [REFEREE] has a clear sight of it and blows his whistle.
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1719,,"[PLAYER] ([TEAM]) sends a pass into the box, but his attempt is thwarted and cleared.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1614,,A brilliant individual effort! [PLAYER] ([TEAM]) tricks his way past challenges into the box and drags his shot narrowly wide of the right post.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1522,y-card,[PLAYER] ([TEAM]) receives a yellow card from the referee for dissent.,"[REFEREE] shows a yellow card to [PLAYER] ([TEAM]), who isn't surprised as the tackle was really hard and late."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1511,,Flag goes up against [PLAYER] ([TEAM]) and the referee blows his whistle for offside.,"[PLAYER] ([TEAM]) goes on a solo run, but he fails to create a chance as an opposition player blocks him. [TEAM] have been awarded a corner kick. The referee and one of his assistants both point at the corner flag."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1426,,[PLAYER] ([TEAM]) is able to continue to play.,The referee stops play so that a substitution can be made and [PLAYER] departs the field of play to be replaced by [PLAYER] ([TEAM]).
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1403,,The ball has crossed the sideline. [TEAM] are taking a throw-in.,"[PLAYER] ([TEAM]) is awarded a yellow card for his tackle. He doesn't seem to agree with the decision, but [REFEREE] ignores the protests."
