league,game,half,timestamp,type,anonymized,predicted_res_0
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1946,,"Half-chance! [PLAYER] ([TEAM]) plays a pass into the box, but [PLAYER] reacts well to snuff out the attack.","[PLAYER] ([TEAM]) attempts to find the head of one of his teammates with a cross into the box, but one of the defending players steps in and averts the ball. [TEAM] will have a chance to score from a corner kick."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1913,,"[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence quickly intercepts the ball.","[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] comes off his line to gather the ball."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1748,,[PLAYER] ([TEAM]) smashes the ball upfield and [PLAYER] controls it with a great first touch.,[PLAYER] ([TEAM]) is penalised for holding. [REFEREE] had a clear sight of it and blows his whistle for a foul.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1649,,The cross into the penalty area from [PLAYER] ([TEAM]) needed to be more accurate in order to create a goal-scoring opportunity for his team.,"[PLAYER] ([TEAM]) tries to find [PLAYER], but he puts too much weight on his pass. The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1470,,"[PLAYER] pulls off a great save to deny [PLAYER] ([TEAM]), who makes himself some space inside the box and unleashes a quick shot towards the middle of the goal.","[PLAYER] ([TEAM]) sends a lofted cross into the box, but one of the defenders steps in and averts the danger."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1341,,[PLAYER] ([TEAM]) breaks into the penalty area but his shot is blocked.,"[PLAYER] ([TEAM]) tries his luck with a shot from the edge of the box, but it is blocked by one of the defending players."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1266,,[PLAYER] ([TEAM]) is offside and the linesman raises his flag.,[PLAYER] ([TEAM]) is forced to stop his attacking move after the linesman raises his flag for offside.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1185,substitution,[COACH] has decided to substitute [PLAYER] and he is replaced by [PLAYER] ([TEAM]).,The referee stops play so that a substitution can be made and [PLAYER] ([TEAM]) comes onto the pitch for [PLAYER].
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1158,,What a chance that is! [PLAYER] ([TEAM]) finds himself unmarked in a promising position after receiving a cross on the edge of the box and his attempt sails a whisker wide of the right post.,"[PLAYER] ([TEAM]) shoots from the edge of the box, but his effort goes a whisker wide of the left post! The ball goes out of play and [TEAM] have been awarded a corner."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1113,substitution,Substitution.  [PLAYER] makes way for [PLAYER] ([TEAM]).,The referee stops play so that a substitution can be made and [PLAYER] trots off the pitch and is replaced by [PLAYER] ([TEAM]).
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1090,,"[PLAYER] ([TEAM]) nearly creates a chance, but his attempt to pick out a teammate with a through ball does not come off.","[PLAYER] ([TEAM]) tries to slide the ball through to a teammate, but it's well blocked by a defender. The ball is out of play. The referee and one of his assistants both point at the corner flag. [TEAM] will take a corner."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,940,,"[PLAYER] ([TEAM]) darts into the penalty area to latch on to a pass, and he unleashes a shot towards the middle of the net, but [PLAYER] is alert and denies him.","[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] comes off his line to gather the ball. The referee and one of his assistants both point to the corner flag, and [TEAM] will have an opportunity to threaten the opposition's goal."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,846,,"[PLAYER] ([TEAM]) attempted to pick out a free teammate inside the box, but [PLAYER] comes off the line to clear the ball away.",[PLAYER] ([TEAM]) commits a foul after unfairly battling his opponent for the ball. [TEAM] are awarded a free kick which they can use to create a scoring opportunity.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,749,,"[PLAYER] ([TEAM]) found some space to play in a lofted pass, but he looks disappointed as none of his teammates managed to connect with it.",[PLAYER] ([TEAM]) is flagged for offside. [TEAM] have a free kick now.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,609,corner,[PLAYER] ([TEAM]) puts a cross into the box from the corner but there is no panic from the opposition and they easily clear.,[PLAYER] ([TEAM]) works the corner short instead of sending the ball into the penalty area.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,589,,"[PLAYER] ([TEAM]) goes on a solo run, but he fails to create a chance as an opposition player blocks him. The referee points to the corner flag and [TEAM] will take a corner.",[PLAYER] ([TEAM]) tries to send a pass but it's blocked. [TEAM] have been awarded a corner kick. The referee and one of his assistants both point at the corner flag.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,554,,"[PLAYER] ([TEAM]) finds himself beyond the last defender, but the game is stopped by the referee after the linesman signals for offside.","[PLAYER] ([TEAM]) finds himself beyond the last defender, but the game is stopped by the referee after the linesman signals for offside."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,432,,[PLAYER] ([TEAM]) sends an accurate short pass. [PLAYER] controls the ball with a fine first touch and is able to come up with a new attacking effort.,"[PLAYER] ([TEAM]) goes on a solo run, but he fails to create a chance as an opposition player blocks him. [TEAM] have been awarded a corner kick."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,355,y-card,Yellow card! It's like [PLAYER] ([TEAM]) was asking for a caution with his behaviour. [REFEREE] agrees and books him.,[PLAYER] ([TEAM]) sees a yellow card from [REFEREE] after he sent one of the opposing players to the ground.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,264,,"The assistant referee raises his flag and the referee blows his whistle.  [PLAYER] ([TEAM]) puts the ball into the net, but he is flagged for offside.","[PLAYER] ([TEAM]) sends a cross into the box, but it's cleared. The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,174,,[PLAYER] ([TEAM]) whips in the resulting set piece but it's cleared.,"[PLAYER] ([TEAM]) sends the ball into the box from the free kick, but the opposition's defence is alert and clears the ball to safety."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,131,y-card,[REFEREE] shows a yellow card to [PLAYER] ([TEAM]) for a tough tackle. [TEAM] get a free kick.,The foul by [PLAYER] ([TEAM]) is worthy of a card and a yellow is duly shown by [REFEREE].
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,93,,[PLAYER] ([TEAM]) fizzes over a cross which doesn't cause any problems.,"[PLAYER] ([TEAM]) whips the ball in from the resulting free kick, but it's cleared."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1,whistle,The game restarts for the second half.,The teams are back out for the second half and here is a change on the pitch. [COACH] gives a chance to [PLAYER] ([TEAM]) and [PLAYER] is off.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2815,injury,[PLAYER] ([TEAM]) is having a really tough time right now. We are about to find out how serious his injury is.,"[PLAYER] ([TEAM]) requires medical treatment, so the referee stops play and signals for the physio to come onto the pitch."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2763,y-card,The foul by [PLAYER] ([TEAM]) is worthy of a card and a yellow is duly shown by [REFEREE].,"The game is interrupted now, [PLAYER] ([TEAM]) picks up a knock and the physio has to come on."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2619,injury,Looks like [PLAYER] ([TEAM]) is struggling after picking up a knock. Hopefully he can run it off.,[PLAYER] ([TEAM]) is having a really tough time right now. We are about to find out how serious his injury is.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2587,,[PLAYER] swings the cross over. [PLAYER] ([TEAM]) gets his head to it but it goes just wide of the right post.,[PLAYER] ([TEAM]) is now leading his teammates as [PLAYER] sends the resulting free kick into the box.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2477,,[PLAYER] ([TEAM]) unleashes a decent effort from just outside the box which goes narrowly wide of the left post.,"[PLAYER] ([TEAM]) receives a precise pass inside the box, but his effort on goal is blocked by one of the defending players."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2359,,"[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] comes off his line to gather the ball.","[PLAYER] ([TEAM]) attempts to find one of his teammates with a cross from the resulting free kick, but it's cleared."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2220,corner,The resulting corner from [PLAYER] ([TEAM]) is cleared by the opposition's defence.,"[PLAYER] ([TEAM]) swings in a dangerous cross from the resulting corner kick, but none of his teammates manage to outjump the defence."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2183,,[PLAYER] ([TEAM]) has a shot blocked from inside the box. [TEAM] will take a corner kick.,"[PLAYER] ([TEAM]) sends a lofted cross into the box, but the opposition's defence deals with his effort. The linesman makes the right call and [TEAM] will have a chance to score from a corner."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,2095,,"[PLAYER] passes to [PLAYER] ([TEAM]), but he produces a wild shot from the edge of the box which goes high over the bar.",[PLAYER] ([TEAM]) receives a precise pass inside the box and unleashes a shot which goes just wide of the left post. The ball is off of the pitch and it's a goal kick for [TEAM].
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1943,y-card,A yellow card for a tackle by [PLAYER] ([TEAM]). [REFEREE] doesn't hesitate at all to make this decision.,The players are back out on the pitch following the half-time break and the second half is about to start.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1860,soccer-ball,[PLAYER] ([TEAM]) receives a precise pass inside the box from [PLAYER] and he beats the goalkeeper with a neat finish into the left side of the net. 1:0.,"Goal! [PLAYER] ([TEAM]) finds himself some space inside the box to get on the end of a pass from [PLAYER], then sends the ball into the back of the net. He makes it 0:3."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1738,corner,"The resulting corner, taken by [PLAYER] ([TEAM]), comes to nothing.",The corner kick from [PLAYER] ([TEAM]) is headed out of the penalty area by one of the defenders.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1714,,"[PLAYER] ([TEAM]) sends a beautiful cross into the penalty area, but the opposition's defence manages to clear the ball to safety. It will be a corner kick for [TEAM].","[PLAYER] ([TEAM]) sends a lofted cross into the penalty area. Unfortunately for him, the opponent's defence deals with his cross comfortably and intercepts it. [TEAM] have been awarded a corner kick. The referee and one of his assistants both point at the corner flag."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1593,,[PLAYER] ([TEAM]) skips past his man but can't keep the ball in play.,[PLAYER] ([TEAM]) fails to pick a body out in the box with an over-hit cross to the back of the goal. The ball goes out of play and [TEAM] will have a goal kick.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1537,,[PLAYER] ([TEAM]) holds his opponent to prevent him from getting the ball and the referee blows his whistle for a foul.,[PLAYER] ([TEAM]) tries to slide the ball through to a teammate but it's well blocked by a defender. The ball is off of the pitch and it's a goal kick for [TEAM].
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1356,,[PLAYER] ([TEAM]) was too fierce in his attempt to get the ball from his opponent and [REFEREE] blows for a foul.,[REFEREE] interrupts the game for a tactical foul by [PLAYER] ([TEAM]).
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1253,,"[PLAYER] ([TEAM]) had a good opportunity when he latched on to a cross from the wing, but his strike wasn't accurate at all and the ball went well wide of the left post.","[PLAYER] ([TEAM]) receives a precise pass inside the box, but his shot goes just wide of the left post. The ball is off of the pitch and it's a goal kick for [TEAM]."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1217,,[PLAYER] ([TEAM]) attempts to send a pass but the effort is blocked.,"[PLAYER] ([TEAM]) tries to find [PLAYER], but he puts too much weight on his pass."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1155,,"[PLAYER] ([TEAM]) meets a cross from [PLAYER], but he cannot keep his header on target. It goes high over the crossbar.","[PLAYER] ([TEAM]) receives a precise low pass inside the box and shoots, but his effort flies just wide of the left post! The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,1101,,[PLAYER] ([TEAM]) trips an opposition player and [REFEREE] signals a foul.,[PLAYER] ([TEAM]) makes a rough challenge and [REFEREE] blows for a foul. [TEAM] are awarded a free kick which could lead to a goal-scoring opportunity.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,977,,[PLAYER] ([TEAM]) receives a quality pass inside the box and fires a first-time shot. His effort towards the right post is saved by the goalkeeper.,"[PLAYER] pulls off a great save to deny [PLAYER] ([TEAM]), who makes himself some space inside the box and unleashes a quick low drive towards the middle of the goal."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,930,,[PLAYER] was forced into action to thwart [PLAYER] ([TEAM]). He found himself some space after latching on to a pass and unleashed a shot to the right post but couldn't beat the keeper.,"[PLAYER] ([TEAM]) receives a precise low pass inside the box, but his shot is blocked by one of the defending players."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,867,,"[PLAYER] ([TEAM]) sends a chip pass into the box, but [PLAYER] is quickest to intercept the ball.","[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] intercepts it."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,789,corner,[PLAYER] ([TEAM]) takes the resulting corner which is well defended.,[PLAYER] ([TEAM]) tries to slide the ball through to a teammate but it's well blocked by a defender. [TEAM] have been awarded a corner kick. The referee and one of his assistants both point at the corner flag.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,764,,"[PLAYER] ([TEAM]) swings in a cross, but the ball is cleared to safety by one of the defending players. The ball goes out of play and [TEAM] have been awarded a corner kick.",The ball is cleared after [PLAYER] ([TEAM]) attempted to dribble past an opposing player. The ball goes out of play. [TEAM] are awarded a corner kick.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,1,697,,"[PLAYER] ([TEAM]) plays a one-two with [PLAYER], but the move breaks down.","[PLAYER] ([TEAM]) goes on a solo run, but he fails to create a chance as an opposition player blocks him. The ball is off of the pitch and it's a goal kick for [TEAM]."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2695,,[TEAM] take a quick free kick and immediately restart play.,[REFEREE] interrupts the game for a tactical foul by [PLAYER] ([TEAM]). [REFEREE] blows his whistle for a foul.
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2647,,[PLAYER] ([TEAM]) commits a rough challenge and [REFEREE] blows his whistle for a foul. [TEAM] are awarded a free kick. Let's see what they create from this.,[REFEREE] interrupts the game for a tactical foul by [PLAYER] ([TEAM]).
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2543,substitution,Substitution. [PLAYER] makes his way off the pitch and [PLAYER] ([TEAM]) comes on as his replacement.,[COACH] has decided to make a change. [PLAYER] ([TEAM]) replaces [PLAYER].
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2518,,"[PLAYER] ([TEAM]) creates a good chance for himself and goes for goal from mid-range, but it's just a bit too high and misses the bar by a whisker.","[PLAYER] ([TEAM]) sends a lofted cross into the penalty area. Unfortunately for him, the opponent's defence deals with his attempt as there are no team-mates around to meet it."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2477,,"[PLAYER] ([TEAM]) amazingly found his way through the defence, but lacked a precise finish as his effort from close range went slightly wide of the right post.","[PLAYER] ([TEAM]) receives a precise pass and takes a shot from the edge of the box, but it goes just wide of the left post. The ball is off of the pitch and it's a goal kick for [TEAM]."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2438,,"[PLAYER] ([TEAM]) shoots from the edge of the penalty area. The ball travels low towards the middle of the target, but [PLAYER] easily deals with the threat.","[PLAYER] ([TEAM]) receives a precise pass and finds himself in a good position around the edge of the box. He pulls the trigger, but his shot goes high over the crossbar."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2427,,"[PLAYER] ([TEAM]) sends a lofted cross into the penalty area. Unfortunately for him, the opponent's defence deals with his cross comfortably and intercepts it.",[PLAYER] ([TEAM]) receives a precise pass inside the box and unleashes a shot which goes just wide of the left post. The ball goes out of play and [TEAM] will have a goal kick.
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2392,,"A fine lofted pass into the box, sent by [PLAYER] ([TEAM]), is intercepted by the opposition's defence.","[PLAYER] ([TEAM]) sends a cross into the box, but it's too short for [PLAYER]."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2329,substitution,Substitution. [PLAYER] ([TEAM]) replaces [PLAYER].,The referee stops play so that a substitution can be made and [PLAYER] leaves the pitch and [PLAYER] ([TEAM]) comes on.
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2280,,[PLAYER] ([TEAM]) jumps into a tackle and [REFEREE] blows his whistle for a foul.,[PLAYER] ([TEAM]) was too forceful with his tackle and [REFEREE] interrupted the game to signal a free kick.
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2205,,"[PLAYER] ([TEAM]) has an effort from the edge of the area, but he skies the ball over the top.","[PLAYER] ([TEAM]) attempts to find the head of one of his teammates with a cross into the box, but the opposition's defence averts the danger. [TEAM] have been awarded a corner kick. The referee and one of his assistants both point at the corner flag."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2201,corner,[PLAYER] ([TEAM]) quickly takes the corner kick with a short pass.,[PLAYER] ([TEAM]) tries to slide the ball through to a teammate but it's well blocked by a defender. The ball goes out for a corner. [TEAM] can continue in their attacking effort.
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2125,,The defence is alert as they clear a dangerous cross from [PLAYER] ([TEAM]). The ball goes out for a corner. [TEAM] can continue in their attacking effort.,"[PLAYER] ([TEAM]) receives a precise pass inside the box, but his effort on goal is blocked by one of the defending players. The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,2091,,"[PLAYER] sprays a pass out to [PLAYER] ([TEAM]), but he produces a poor effort from inside the box which goes well wide of the left post.",[PLAYER] ([TEAM]) receives a precise pass inside the box and unleashes a shot which goes just wide of the right post.
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1943,substitution,[COACH] has decided to substitute [PLAYER] and he is replaced by [PLAYER] ([TEAM]).,The referee stops play so that a substitution can be made and [PLAYER] leaves the pitch and [PLAYER] ([TEAM]) comes on.
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1929,substitution,The referee stops play so that a substitution can be made and [PLAYER] ([TEAM]) comes onto the pitch for [PLAYER].,"[COACH] has decided to introduce fresh legs, with [PLAYER] ([TEAM]) replacing [PLAYER]."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1892,,[PLAYER] ([TEAM]) jinks his way past two defenders and from the edge of the box has an effort which goes just over the bar.,"[PLAYER] ([TEAM]) receives a precise low pass inside the box, but his shot goes just wide of the right post. The ball goes out of play and [TEAM] will have a goal kick."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1864,corner,"[PLAYER] ([TEAM]) sends in the corner, but fails to find the head of any of his teammates, allowing the defence to clear.",The resulting corner from [PLAYER] ([TEAM]) is cleared by the defence.
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1827,,"[PLAYER] ([TEAM]) pulls the trigger and strikes the ball towards goal from long-range, but his effort is blocked by one of the defenders. The ball goes behind for a corner. [TEAM] will have an opportunity to threaten the opposition's goal.","[PLAYER] ([TEAM]) tries his luck and sends a shot from the edge of the box towards the bottom left corner, but the goalkeeper is alert and makes a great save! The ball goes out of play. [TEAM] are awarded a corner kick."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1742,,[REFEREE] blows his whistle for a foul after [PLAYER] ([TEAM]) hacks down one of his opponents. A free kick is awarded to [TEAM].,[PLAYER] ([TEAM]) fails to beat the offside trap and the linesman puts his flag up.
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1719,,"[PLAYER] ([TEAM]) sends a pass into the box, but his attempt is thwarted and cleared.","[PLAYER] ([TEAM]) sends a cross into the box, but it's cleared."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1614,,A brilliant individual effort! [PLAYER] ([TEAM]) tricks his way past challenges into the box and drags his shot narrowly wide of the right post.,"[PLAYER] ([TEAM]) receives a precise pass inside the box, but his effort on goal goes just wide of the left post. The ball is off of the pitch and it's a goal kick for [TEAM]."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1522,y-card,[PLAYER] ([TEAM]) receives a yellow card from the referee for dissent.,[PLAYER] ([TEAM]) can't expect anything else than a yellow card for his tough tackle. And a yellow it is. [REFEREE] didn't think twice about pulling it out of his pocket.
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1511,,Flag goes up against [PLAYER] ([TEAM]) and the referee blows his whistle for offside.,The foul by [PLAYER] ([TEAM]) is worthy of a card and a yellow is duly shown by the referee.
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1426,,[PLAYER] ([TEAM]) is able to continue to play.,"[PLAYER] ([TEAM]) has picked up a minor injury, but it looks like he will be able to continue playing."
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1403,,The ball has crossed the sideline. [TEAM] are taking a throw-in.,The referee stops play so that a substitution can be made and [PLAYER] leaves the pitch and [PLAYER] ([TEAM]) comes on.
england_epl_2015-2016,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,2,1347,injury,[PLAYER] ([TEAM]) is clearly asking for some medical attention with his painful gestures. The extent of his injury is yet to be discovered.,[PLAYER] ([TEAM]) is clearly asking for some medical attention with his painful gestures. The extent of his injury is yet to be discovered.
