game,timestamp,type,anonymized,predicted_res_0
02n0kR3B7DU,70,,He could have got his name in the headlines.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball is out of play. [TEAM] win a corner kick."
02n0kR3B7DU,78,,Džemaili runs off.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
02n0kR3B7DU,79,,This will be a bad time to concede.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. [TEAM] force a corner. They send men into the box."
02n0kR3B7DU,81,,Good header from [PLAYER].,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
02n0kR3B7DU,82,,"[PLAYER], they want the counter, [PLAYER]. His touch lets him down, and they manage to fortunately get it back there easily, and is he onside?","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
02n0kR3B7DU,91,,The flag stays down. Piątek one-on-one.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
02n0kR3B7DU,94,,"Well, he gets the shot away.","[PLAYER] ([TEAM]) goes on a solo run, but he fails to create a chance as an opposition player blocks him. The ball goes out of play and [TEAM] will have a goal kick."
02n0kR3B7DU,96,,It's saved by [PLAYER].,The ball is cleared after [PLAYER] ([TEAM]) attempted to dribble past an opposing player. The ball is out of play and the linesman points at the corner flag. Corner to [TEAM].
02n0kR3B7DU,100,soccer-ball,Too wide to claim that fourth league goal of the season.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
02n0kR3B7DU,107,,We're back underway here at the Marassi.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
02n0kR3B7DU,111,,[TEAM] winning six points from six from their first two home games.,"[PLAYER] ([TEAM]) is awarded a yellow card for his tackle. He doesn't seem to agree with the decision, but [REFEREE] ignores the protests."
02n0kR3B7DU,120,,"Can [TEAM] having won an away match in the league in 2018 as the ball is in for [PLAYER], then the shot.",[REFEREE] blows his whistle and it's [PLAYER] ([TEAM]) who is penalised for an offensive foul. Good decision by the referee.
02n0kR3B7DU,130,,What a wicked slice.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball goes out of play and [TEAM] will have a goal kick."
02n0kR3B7DU,131,,"It's a driven attempt, and [PLAYER] just wide.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but one of the defenders clears the ball to safety. The ball goes out of play and [TEAM] will have a goal kick."
02n0kR3B7DU,148,,Took [?] is a longer time to play out inside their own half as Piątek opens up the space.,It's time for a substitution. [PLAYER] ([TEAM]) is on the pitch instead of [PLAYER].
02n0kR3B7DU,156,,He's done it again.,"[PLAYER] ([TEAM]) receives a precise pass inside the box from [PLAYER], but his effort on goal is blocked by the defender."
02n0kR3B7DU,157,,What a brilliant start to his time here in Italy.,"[PLAYER] ([TEAM]) receives a precise pass inside the box from [PLAYER], but his effort is blocked by the defender."
02n0kR3B7DU,161,soccer-ball,"Three games, four goals.","[PLAYER] ([TEAM]) receives a precise pass inside the box from [PLAYER], but his effort on goal is blocked by the defender."
02n0kR3B7DU,164,,The new number nine for [TEAM] does it again.,It's time for a substitution. [PLAYER] ([TEAM]) comes on to replace [PLAYER].
02n0kR3B7DU,170,soccer-ball,Is [PLAYER] going to take a direction on goal?,Goal! [PLAYER] ([TEAM]) was in the right place at the right time to turn the ball into the back of the net from the rebound. He makes it 0:2.
02n0kR3B7DU,172,,"He's got the left boot to do it, and he does go straight at the keeper.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
02n0kR3B7DU,175,,[PLAYER] punches away.,Goal! [PLAYER] ([TEAM]) was in the right place at the right time to get to the rebound inside the box and send the ball into the back of the net. 0:2.
02n0kR3B7DU,191,,Lazović doesn't give up on the ball.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
02n0kR3B7DU,194,,Does he think he's got a shot in him?,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball goes out of play and [TEAM] will have a goal kick."
02n0kR3B7DU,195,,"Dribbling his way through, and such a wonderful opportunity to kill the game.",The foul by [PLAYER] ([TEAM]) is worthy of a card and a yellow is duly shown by [REFEREE].
02n0kR3B7DU,208,,"Oh, now there's another card coming out, and the referee here.","[PLAYER] ([TEAM]) is awarded a yellow card for his tackle. He doesn't seem to agree with the decision, but [REFEREE] ignores the protests."
02n0kR3B7DU,213,,Is he going to have to go for a more severe color?,[PLAYER] ([TEAM]) is penalised for a foul. [REFEREE] had a clear view and blows his whistle.
02n0kR3B7DU,218,,A red card has been shown here.,"[PLAYER] ([TEAM]) is awarded a yellow card for his tackle. He doesn't seem to agree with the decision, but [REFEREE] ignores the protests."
02n0kR3B7DU,226,whistle,The final whistle goes.,The foul by [PLAYER] ([TEAM]) is worthy of a card and a yellow is duly shown by [REFEREE].
02n0kR3B7DU,228,,"It finishes here, [TEAM] 1-0 [TEAM].",The foul by [PLAYER] ([TEAM]) is worthy of a card and a yellow is duly shown by [REFEREE].
02n0kR3B7DU,231,,"It's all we've got time for from the [STADIUM], good afternoon.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
0ARW5Nn8-ow,0,,[TEAM] finished 2019 with back to back defeats putting the Salentini dangerously close to the relegation zone.,"[PLAYER] ([TEAM]) slaloms his way past challenges, but an opposing player does well to get the ball away."
0ARW5Nn8-ow,7,,They have a big chance to win at home for the first time this season against an [TEAM] side who have struggled on the road.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball is out of play. [TEAM] win a corner kick."
0ARW5Nn8-ow,17,,"[PLAYER] is away here for [TEAM], still going [PLAYER] and has a shot, it's off the crossbar.","[PLAYER] ([TEAM]) slaloms his way past challenges, but an opposing player does well to get the ball away."
0ARW5Nn8-ow,27,,"Still alive, [PLAYER], plays it back, the shot and a beautiful save from [PLAYER].",[PLAYER] ([TEAM]) is penalised for a foul. [REFEREE] had a clear view and blows his whistle.
0ARW5Nn8-ow,36,,[PLAYER]nies [PLAYER] as [TEAM] came excruciatingly close to breaking the deadlock here at the Via del Mare.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
0ARW5Nn8-ow,55,,"[PLAYER] Paul, finds [PLAYER], here is [PLAYER] who can shoot from here but too much traffic, the shot does come in and it forces a fine save from [PLAYER].","[PLAYER] ([TEAM]) sends a pass into the box, but his effort is a bit too strong for the opposition players and goes out of play. [TEAM] will have a chance to score from a corner."
0ARW5Nn8-ow,68,soccer-ball,"[PLAYER], what a rocket he has and he made use of it on this occasion, a loose ball he teed it up well and that was heading for the back of the net.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
0ARW5Nn8-ow,87,,"Here is [PLAYER] now in a good position, crosses it for [PLAYER], [PLAYER], was he offside?","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. [TEAM] force a corner. They send men into the box."
0ARW5Nn8-ow,94,,The flag stays down.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball is out of play. [TEAM] win a corner kick."
0ARW5Nn8-ow,96,,[TEAM] break the deadlock with [PLAYER] once again scoring against [TEAM].,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
0ARW5Nn8-ow,113,soccer-ball,"It's offside, no goal, score remains 0-0.","[PLAYER] ([TEAM]) receives a precise pass inside the box, but his effort on goal is blocked by the defender."
0ARW5Nn8-ow,122,,"As [PLAYER] now finds [PLAYER] Paul, [TEAM] away on the coun[PLAYER].","[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] comes off his line to gather the ball."
0ARW5Nn8-ow,129,,"They're flooding forward [PLAYER] Paul will have a shot from here, didn't miss by much.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball is out of play. [TEAM] win a corner kick."
0ARW5Nn8-ow,136,,In this conditions shots from distance are very tricky indeed to deal with.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
0ARW5Nn8-ow,149,,"Taken short, [PLAYER] Paul with a looping ball, not dealt with well by [PLAYER], Madgragora shoots at the side netting.","[PLAYER] ([TEAM]) swings a cross into the box, but it's far too close to [PLAYER], who smothers the ball."
